eventID,eventDate,maximumDepthInMeters,minimumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,countryCode
AMBON_Zooplankton_2017_ML1.9_2017-08-18T16:28:00Z,2017-08-18T16:28:00Z,41,41,71.0228,-165.6261,WGS84,US
AMBON_Zooplankton_2017_ML1.10_2017-08-18T20:25:00Z,2017-08-18T20:25:00Z,41,41,71.1387,-166.0423,WGS84,US
AMBON_Zooplankton_2017_ML1.11_2017-08-18T23:19:00Z,2017-08-18T23:19:00Z,42,42,71.2678,-166.4147,WGS84,US
AMBON_Zooplankton_2017_ML1.12_2017-08-19T02:06:00Z,2017-08-19T02:06:00Z,44,44,71.3853,-166.8257,WGS84,US
AMBON_Zooplankton_2017_ML1.13_2017-08-19T05:34:00Z,2017-08-19T05:34:00Z,46,46,71.5088,-167.2574,WGS84,US
AMBON_Zooplankton_2017_ML3.2_2017-08-17T04:11:00Z,2017-08-17T04:11:00Z,26,26,70.5773,-160.8413,WGS84,US
AMBON_Zooplankton_2017_ML3.3_2017-08-17T01:29:00Z,2017-08-17T01:29:00Z,41,41,70.7147,-161.1734,WGS84,US
AMBON_Zooplankton_2017_ML3.4_2017-08-16T22:28:00Z,2017-08-16T22:28:00Z,43,43,70.8437,-161.5429,WGS84,US
AMBON_Zooplankton_2017_ML3.5_2017-08-16T19:00:00Z,2017-08-16T19:00:00Z,44,44,70.9702,-161.9039,WGS84,US
AMBON_Zooplankton_2017_ML3.6_2017-08-16T15:32:00Z,2017-08-16T15:32:00Z,45,45,71.1115,-162.2348,WGS84,US
AMBON_Zooplankton_2017_ML3.7_2017-08-16T11:47:00Z,2017-08-16T11:47:00Z,44,44,71.2318,-162.6267,WGS84,US
AMBON_Zooplankton_2017_ML3.8_2017-08-16T08:19:00Z,2017-08-16T08:19:00Z,43,43,71.3639,-163.0303,WGS84,US
AMBON_Zooplankton_2017_ML3.9_2017-08-16T04:55:00Z,2017-08-16T04:55:00Z,41,41,71.4918,-163.373,WGS84,US
AMBON_Zooplankton_2017_ML3.10_2017-08-16T02:01:00Z,2017-08-16T02:01:00Z,40,40,71.6162,-163.756,WGS84,US
AMBON_Zooplankton_2017_ML3.11_2017-08-15T23:06:00Z,2017-08-15T23:06:00Z,37,37,71.7445,-164.1671,WGS84,US
