seine_id,survey_id,lat,long,set_time,so_total,so_taken,pi_total,pi_taken,cu_total,cu_taken,co_total,co_taken,he_total,he_taken,ck_total,ck_taken
JE140N1,JE140,50.45649,-126.16619,2015-06-02 08:25:00 PDT,500,30,10,2,500,10,0,0,5,5,NA,NA
JE142N1,JE142,50.48189,-126.01128,2015-06-03 06:15:00 PDT,100,30,0,0,100,10,0,0,3,3,NA,NA
JE143N1,JE143,50.48072,-126.40915,2015-06-03 10:15:00 PDT,15000,30,0,0,2000,10,0,0,1,0,NA,NA
JE145N1,JE145,50.53944,-126.78254,2015-06-03 14:55:00 PDT,100,30,0,0,200,10,0,0,5,5,NA,NA
JE146N1,JE146,50.52232,-126.39556,2015-06-04 06:30:00 PDT,300,30,0,0,500,10,0,0,2,2,NA,NA
JE147N1,JE147,50.54216,-126.63511,2015-06-04 10:00:00 PDT,200,30,7,7,300,10,0,0,15,10,NA,NA
JE148N3,JE148,50.5956,-126.69022,2015-06-04 13:40:00 PDT,300,30,1,1,300,10,6,6,0,0,NA,NA
JE149N1,JE149,50.55855,-126.73248,2015-06-05 05:25:00 PDT,300,30,0,0,200,10,1,1,0,0,NA,NA
JE150N1,JE150,50.56784,-126.69728,2015-06-05 08:20:00 PDT,1000,30,3,3,400,10,3,3,2,2,NA,NA
JE152N1,JE152,50.45987,-126.16961,2015-06-06 06:20:00 PDT,100,30,3,3,100,10,0,0,0,0,NA,NA
JE154N1,JE154,50.47794,-126.02803,2015-06-07 05:05:00 PDT,100,30,0,0,200,10,4,4,2,2,NA,NA
JE155N1,JE155,50.49983,-126.20581,2015-06-07 07:45:00 PDT,300,30,0,0,300,10,1,1,0,0,NA,NA
JE157N2,JE157,50.47923,-126.41485,2015-06-07 11:00:00 PDT,200,30,3,3,4000,10,0,0,1,0,NA,NA
JE159N1,JE159,50.539,-126.7781,2015-06-07 14:35:00 PDT,400,29,30,10,600,10,1,1,0,0,NA,NA
JE160N1,JE160,50.52411,-126.39107,2015-06-08 06:05:00 PDT,300,30,2,2,300,10,1,1,3,2,NA,NA
JE161N1,JE161,50.54418,-126.63202,2015-06-08 10:20:00 PDT,200,30,1,1,200,10,0,0,3,2,NA,NA
JE162N1,JE162,50.57687,-126.72184,2015-06-08 13:34:00 PDT,200,30,30,10,300,10,3,3,0,0,NA,NA
JE163N1,JE163,50.59537,-126.69062,2015-06-09 07:00:00 PDT,200,30,0,0,200,10,7,7,2,2,NA,NA
JE165N1,JE165,50.50008,-126.20937,2015-06-11 07:12:00 PDT,500,30,20,10,500,10,0,0,5,3,NA,NA
