eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID
JE233N1,"NA",sockeyeCount,2000,"NA","NA"
JE234N1,"NA",sockeyeCount,0,"NA","NA"
JE234N2,"NA",sockeyeCount,150,"NA","NA"
JE235N2,"NA",sockeyeCount,0,"NA","NA"
JE235N1,"NA",sockeyeCount,0,"NA","NA"
JE235N3,"NA",sockeyeCount,0,"NA","NA"
JE236N1,"NA",sockeyeCount,25,"NA","NA"
JE237N1,"NA",sockeyeCount,40,"NA","NA"
JE238N1,"NA",sockeyeCount,300,"NA","NA"
JE239N1,"NA",sockeyeCount,0,"NA","NA"
JE239N2,"NA",sockeyeCount,0,"NA","NA"
JE240N1,"NA",sockeyeCount,500,"NA","NA"
JE243N1,"NA",sockeyeCount,0,"NA","NA"
JE243N2,"NA",sockeyeCount,400,"NA","NA"
JE244N1,"NA",sockeyeCount,400,"NA","NA"
JE245N1,"NA",sockeyeCount,0,"NA","NA"
JE245N2,"NA",sockeyeCount,300,"NA","NA"
JE246N1,"NA",sockeyeCount,70,"NA","NA"
JE248N1,"NA",sockeyeCount,400,"NA","NA"
JE249N1,"NA",sockeyeCount,200,"NA","NA"
JE250N1,"NA",sockeyeCount,0,"NA","NA"
JE250N2,"NA",sockeyeCount,750,"NA","NA"
JE251N1,"NA",sockeyeCount,100,"NA","NA"
JE252N1,"NA",sockeyeCount,2000,"NA","NA"
JE253N1,"NA",sockeyeCount,18,"NA","NA"
JE254N1,"NA",sockeyeCount,80,"NA","NA"
JE255N1,"NA",sockeyeCount,0,"NA","NA"
JE255N2,"NA",sockeyeCount,600,"NA","NA"
JE256N1,"NA",sockeyeCount,300,"NA","NA"
JE257N1,"NA",sockeyeCount,4000,"NA","NA"
JE258N1,"NA",sockeyeCount,400,"NA","NA"
JE259N2,"NA",sockeyeCount,0,"NA","NA"
JE259N1,"NA",sockeyeCount,0,"NA","NA"
JE259N3,"NA",sockeyeCount,3000,"NA","NA"
JE260N1,"NA",sockeyeCount,0,"NA","NA"
JE261N1,"NA",sockeyeCount,700,"NA","NA"
JE262N1,"NA",sockeyeCount,600,"NA","NA"
JE263N1,"NA",sockeyeCount,50,"NA","NA"
JE264N1,"NA",sockeyeCount,200,"NA","NA"
JE265N1,"NA",sockeyeCount,27,"NA","NA"
JE266N1,"NA",sockeyeCount,100,"NA","NA"
JE267N1,"NA",sockeyeCount,200,"NA","NA"
JE268N1,"NA",sockeyeCount,1000,"NA","NA"
JE269N1,"NA",sockeyeCount,2000,"NA","NA"
JE270N1,"NA",sockeyeCount,300,"NA","NA"
JE271N1,"NA",sockeyeCount,1000,"NA","NA"
JE272N1,"NA",sockeyeCount,0,"NA","NA"
JE272N2,"NA",sockeyeCount,2000,"NA","NA"
JE273N1,"NA",sockeyeCount,80,"NA","NA"
JE274N1,"NA",sockeyeCount,0,"NA","NA"
JE274N2,"NA",sockeyeCount,100,"NA","NA"
JE276N1,"NA",sockeyeCount,6,"NA","NA"
JE278N3,"NA",sockeyeCount,0,"NA","NA"
JE278N2,"NA",sockeyeCount,3,"NA","NA"
JE278N1,"NA",sockeyeCount,3,"NA","NA"
JE281N1,"NA",sockeyeCount,0,"NA","NA"
JE282N1,"NA",sockeyeCount,500,"NA","NA"
JE283N1,"NA",sockeyeCount,300,"NA","NA"
JE284N1,"NA",sockeyeCount,1,"NA","NA"
JE285N1,"NA",sockeyeCount,100,"NA","NA"
JE286N1,"NA",sockeyeCount,27,"NA","NA"
JE288N1,"NA",sockeyeCount,4,"NA","NA"
JE290N1,"NA",sockeyeCount,0,"NA","NA"
JE290N2,"NA",sockeyeCount,10,"NA","NA"
JE291N1,"NA",sockeyeCount,300,"NA","NA"
JE292N1,"NA",sockeyeCount,50,"NA","NA"
JE293N1,"NA",sockeyeCount,0,"NA","NA"
JE293N2,"NA",sockeyeCount,28,"NA","NA"
JE294N1,"NA",sockeyeCount,0,"NA","NA"
JE294N2,"NA",sockeyeCount,2,"NA","NA"
JE295N1,"NA",sockeyeCount,0,"NA","NA"
JE298N1,"NA",sockeyeCount,50,"NA","NA"
JE300N1,"NA",sockeyeCount,0,"NA","NA"
JE302N1,"NA",sockeyeCount,200,"NA","NA"
JE303N1,"NA",sockeyeCount,22,"NA","NA"
JE304N1,"NA",sockeyeCount,0,"NA","NA"
JE304N2,"NA",sockeyeCount,23,"NA","NA"
JE305N1,"NA",sockeyeCount,600,"NA","NA"
JE306N2,"NA",sockeyeCount,130,"NA","NA"
JE306N1,"NA",sockeyeCount,325,"NA","NA"
JE307N1,"NA",sockeyeCount,300,"NA","NA"
JE308N2,"NA",sockeyeCount,40,"NA","NA"
JE308N1,"NA",sockeyeCount,200,"NA","NA"
JE309N2,"NA",sockeyeCount,120,"NA","NA"
JE309N1,"NA",sockeyeCount,175,"NA","NA"
JE310N2,"NA",sockeyeCount,390,"NA","NA"
JE310N1,"NA",sockeyeCount,26,"NA","NA"
JE311N4,"NA",sockeyeCount,0,"NA","NA"
JE311N3,"NA",sockeyeCount,0,"NA","NA"
JE311N2,"NA",sockeyeCount,0,"NA","NA"
JE311N1,"NA",sockeyeCount,0,"NA","NA"
JE311N5,"NA",sockeyeCount,43,"NA","NA"
JE314N2,"NA",sockeyeCount,0,"NA","NA"
JE314N1,"NA",sockeyeCount,1,"NA","NA"
JE312N1,"NA",sockeyeCount,0,"NA","NA"
JE313N1,"NA",sockeyeCount,0,"NA","NA"
JE316N1,"NA",sockeyeCount,0,"NA","NA"
JE315N1,"NA",sockeyeCount,0,"NA","NA"
DE505N2,"NA",sockeyeCount,0,"NA","NA"
DE505N1,"NA",sockeyeCount,0,"NA","NA"
DE506N1,"NA",sockeyeCount,0,"NA","NA"
DE510N1,"NA",sockeyeCount,0,"NA","NA"
JE411N1,"NA",sockeyeCount,0,"NA","NA"
JE412N1,"NA",sockeyeCount,0,"NA","NA"
DE516N2,"NA",sockeyeCount,0,"NA","NA"
DE516N1,"NA",sockeyeCount,0,"NA","NA"
JE401N1,"NA",sockeyeCount,0,"NA","NA"
JE402N1,"NA",sockeyeCount,3,"NA","NA"
