eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID
DE240N1,hakai-jsp-U256,fork length,86,mm,"NA"
DE152N3,hakai-jsp-U257,fork length,117,mm,"NA"
DE152N3,hakai-jsp-U258,fork length,114,mm,"NA"
DE152N3,hakai-jsp-U259,fork length,106,mm,"NA"
DE240N1,hakai-jsp-U260,fork length,76,mm,"NA"
DE240N1,hakai-jsp-U129,fork length,63,mm,"NA"
DE111N1,hakai-jsp-U230,fork length,104,mm,"NA"
DE111N1,hakai-jsp-U281,fork length,97,mm,"NA"
DE111N1,hakai-jsp-U284,fork length,76,mm,"NA"
DE111N1,hakai-jsp-U285,fork length,95,mm,"NA"
DE111N1,hakai-jsp-U286,fork length,94,mm,"NA"
DE158N2,hakai-jsp-U271,fork length,109,mm,"NA"
DE111N1,hakai-jsp-U272,fork length,89,mm,"NA"
DE111N1,hakai-jsp-U273,fork length,96,mm,"NA"
DE111N1,hakai-jsp-U274,fork length,96,mm,"NA"
DE158N2,hakai-jsp-U287,fork length,105,mm,"NA"
DE158N2,hakai-jsp-U288,fork length,95,mm,"NA"
DE158N2,hakai-jsp-U289,fork length,101,mm,"NA"
DE105N1,hakai-jsp-U290,fork length,104,mm,"NA"
DE105N1,hakai-jsp-U291,fork length,100,mm,"NA"
DE158N2,hakai-jsp-U266,fork length,108,mm,"NA"
DE158N2,hakai-jsp-U267,fork length,105,mm,"NA"
DE105N1,hakai-jsp-U268,fork length,95,mm,"NA"
DE105N1,hakai-jsp-U269,fork length,104,mm,"NA"
DE105N1,hakai-jsp-U270,fork length,96,mm,"NA"
DE158N2,hakai-jsp-U275,fork length,119,mm,"NA"
DE158N2,hakai-jsp-U276,fork length,97,mm,"NA"
DE158N2,hakai-jsp-U277,fork length,105,mm,"NA"
DE105N1,hakai-jsp-U278,fork length,106,mm,"NA"
DE105N1,hakai-jsp-U279,fork length,97,mm,"NA"
DE158N2,hakai-jsp-U130,fork length,106,mm,"NA"
DE107N1,hakai-jsp-U292,fork length,128,mm,"NA"
DE107N1,hakai-jsp-U293,fork length,95,mm,"NA"
DE107N1,hakai-jsp-U294,fork length,103,mm,"NA"
DE107N1,hakai-jsp-U295,fork length,101,mm,"NA"
DE106N1,hakai-jsp-U296,fork length,99,mm,"NA"
DE106N1,hakai-jsp-U297,fork length,88,mm,"NA"
DE107N1,hakai-jsp-U311,fork length,104,mm,"NA"
DE107N1,hakai-jsp-U312,fork length,109,mm,"NA"
DE107N1,hakai-jsp-U313,fork length,99,mm,"NA"
DE106N1,hakai-jsp-U315,fork length,120,mm,"NA"
DE105N1,hakai-jsp-U280,fork length,120,mm,"NA"
DE107N1,hakai-jsp-U301,fork length,116,mm,"NA"
DE107N1,hakai-jsp-U302,fork length,100,mm,"NA"
DE107N1,hakai-jsp-U303,fork length,94,mm,"NA"
DE106N1,hakai-jsp-U304,fork length,89,mm,"NA"
DE106N1,hakai-jsp-U305,fork length,108,mm,"NA"
DE106N1,hakai-jsp-U298,fork length,101,mm,"NA"
DE121N1,hakai-jsp-U299,fork length,119,mm,"NA"
DE121N1,hakai-jsp-U300,fork length,89,mm,"NA"
DE121N1,hakai-jsp-U331,fork length,101,mm,"NA"
DE121N1,hakai-jsp-U332,fork length,97,mm,"NA"
DE121N1,hakai-jsp-U333,fork length,100,mm,"NA"
DE130N1,hakai-jsp-U334,fork length,99,mm,"NA"
DE106N1,hakai-jsp-U316,fork length,91,mm,"NA"
DE121N1,hakai-jsp-U317,fork length,96,mm,"NA"
DE121N1,hakai-jsp-U318,fork length,91,mm,"NA"
DE121N1,hakai-jsp-U319,fork length,102,mm,"NA"
DE130N1,hakai-jsp-U320,fork length,107,mm,"NA"
DE106N1,hakai-jsp-U306,fork length,103,mm,"NA"
DE121N1,hakai-jsp-U307,fork length,101,mm,"NA"
DE121N1,hakai-jsp-U308,fork length,103,mm,"NA"
DE130N1,hakai-jsp-U309,fork length,107,mm,"NA"
DE130N1,hakai-jsp-U310,fork length,104,mm,"NA"
DE130N1,hakai-jsp-U341,fork length,103,mm,"NA"
DE106N1,hakai-jsp-U321,fork length,104,mm,"NA"
DE130N1,hakai-jsp-U335,fork length,99,mm,"NA"
DE130N1,hakai-jsp-U336,fork length,110,mm,"NA"
DE100N3,hakai-jsp-U337,fork length,95,mm,"NA"
DE100N3,hakai-jsp-U338,fork length,105,mm,"NA"
DE100N3,hakai-jsp-U339,fork length,85,mm,"NA"
DE100N3,hakai-jsp-U340,fork length,95,mm,"NA"
DE112N1,hakai-jsp-U361,fork length,98,mm,"NA"
DE130N1,hakai-jsp-U351,fork length,103,mm,"NA"
DE100N3,hakai-jsp-U352,fork length,86,mm,"NA"
DE100N3,hakai-jsp-U353,fork length,92,mm,"NA"
DE100N3,hakai-jsp-U354,fork length,96,mm,"NA"
DE112N1,hakai-jsp-U355,fork length,98,mm,"NA"
DE112N1,hakai-jsp-U356,fork length,103,mm,"NA"
DE130N1,hakai-jsp-U342,fork length,99,mm,"NA"
DE130N1,hakai-jsp-U343,fork length,98,mm,"NA"
DE100N3,hakai-jsp-U344,fork length,95,mm,"NA"
DE100N3,hakai-jsp-U345,fork length,92,mm,"NA"
DE100N3,hakai-jsp-U346,fork length,96,mm,"NA"
DE112N1,hakai-jsp-U347,fork length,102,mm,"NA"
DE112N1,hakai-jsp-U348,fork length,94,mm,"NA"
DE112N1,hakai-jsp-U362,fork length,89,mm,"NA"
DE112N1,hakai-jsp-U363,fork length,101,mm,"NA"
DE104N1,hakai-jsp-U364,fork length,80,mm,"NA"
DE104N1,hakai-jsp-U365,fork length,85,mm,"NA"
DE104N1,hakai-jsp-U366,fork length,91,mm,"NA"
DE104N1,hakai-jsp-U367,fork length,81,mm,"NA"
DE112N1,hakai-jsp-U357,fork length,101,mm,"NA"
DE104N1,hakai-jsp-U358,fork length,100,mm,"NA"
DE104N1,hakai-jsp-U359,fork length,97,mm,"NA"
DE104N1,hakai-jsp-U360,fork length,88,mm,"NA"
DE110N1,hakai-jsp-U381,fork length,86,mm,"NA"
DE112N1,hakai-jsp-U349,fork length,104,mm,"NA"
DE112N1,hakai-jsp-U350,fork length,101,mm,"NA"
DE104N1,hakai-jsp-U371,fork length,85,mm,"NA"
DE104N1,hakai-jsp-U372,fork length,91,mm,"NA"
DE104N1,hakai-jsp-U373,fork length,92,mm,"NA"
DE104N1,hakai-jsp-U374,fork length,85,mm,"NA"
DE110N1,hakai-jsp-U368,fork length,94,mm,"NA"
DE110N1,hakai-jsp-U369,fork length,100,mm,"NA"
DE110N1,hakai-jsp-U370,fork length,97,mm,"NA"
DE102N1,hakai-jsp-U391,fork length,123,mm,"NA"
DE102N1,hakai-jsp-U392,fork length,121,mm,"NA"
DE102N1,hakai-jsp-U393,fork length,115,mm,"NA"
DE110N1,hakai-jsp-U382,fork length,102,mm,"NA"
DE110N1,hakai-jsp-U383,fork length,97,mm,"NA"
DE102N1,hakai-jsp-U384,fork length,103,mm,"NA"
DE102N1,hakai-jsp-U385,fork length,99,mm,"NA"
DE102N1,hakai-jsp-U386,fork length,126,mm,"NA"
DE116N1,hakai-jsp-U394,fork length,117,mm,"NA"
DE102N1,hakai-jsp-U395,fork length,115,mm,"NA"
DE116N1,hakai-jsp-U396,fork length,95,mm,"NA"
DE116N1,hakai-jsp-U397,fork length,97,mm,"NA"
DE116N1,hakai-jsp-U398,fork length,88,mm,"NA"
DE114N1,hakai-jsp-U399,fork length,96,mm,"NA"
DE128N4,hakai-jsp-U400,fork length,100,mm,"NA"
DE102N1,hakai-jsp-U387,fork length,107,mm,"NA"
DE102N1,hakai-jsp-U388,fork length,104,mm,"NA"
DE102N1,hakai-jsp-U389,fork length,103,mm,"NA"
DE116N1,hakai-jsp-U390,fork length,91,mm,"NA"
DE114N1,hakai-jsp-U411,fork length,98,mm,"NA"
DE128N4,hakai-jsp-U412,fork length,95,mm,"NA"
DE116N1,hakai-jsp-U375,fork length,93,mm,"NA"
DE116N1,hakai-jsp-U376,fork length,109,mm,"NA"
DE116N1,hakai-jsp-U377,fork length,86,mm,"NA"
DE116N1,hakai-jsp-U378,fork length,101,mm,"NA"
DE116N1,hakai-jsp-U379,fork length,102,mm,"NA"
DE116N1,hakai-jsp-U380,fork length,97,mm,"NA"
DE114N1,hakai-jsp-U401,fork length,94,mm,"NA"
DE128N4,hakai-jsp-U421,fork length,100,mm,"NA"
DE128N4,hakai-jsp-U422,fork length,110,mm,"NA"
DE128N4,hakai-jsp-U423,fork length,107,mm,"NA"
DE128N4,hakai-jsp-U424,fork length,102,mm,"NA"
DE101N1,hakai-jsp-U425,fork length,101,mm,"NA"
DE101N1,hakai-jsp-U426,fork length,93,mm,"NA"
DE128N4,hakai-jsp-U413,fork length,110,mm,"NA"
DE128N4,hakai-jsp-U414,fork length,92,mm,"NA"
DE128N4,hakai-jsp-U415,fork length,107,mm,"NA"
DE128N4,hakai-jsp-U416,fork length,98,mm,"NA"
DE101N1,hakai-jsp-U417,fork length,101,mm,"NA"
DE101N1,hakai-jsp-U418,fork length,98,mm,"NA"
DE101N1,hakai-jsp-U419,fork length,97,mm,"NA"
DE101N1,hakai-jsp-U420,fork length,96,mm,"NA"
DE101N1,hakai-jsp-U431,fork length,92,mm,"NA"
DE140N1,hakai-jsp-U432,fork length,120,mm,"NA"
DE101N1,hakai-jsp-U322,fork length,95,mm,"NA"
DE101N1,hakai-jsp-U323,fork length,103,mm,"NA"
