seine_id,survey_id,lat,long,set_time,so_total,pi_total,cu_total,co_total,he_total,ck_total
DE350N1,DE350,50.307068,-125.329361,2016-06-29 09:24:00 PDT,0,0,0,0,0,NA
DE352N1,DE352,50.378699,-125.373927,2016-06-30 06:43:00 PDT,6,300,300,0,2,NA
DE353N1,DE353,50.348081,-125.455923,2016-06-30 09:45:00 PDT,22,200,40,0,0,NA
DE355N1,DE355,50.462531,-125.359047,2016-06-30 15:15:00 PDT,6,70,50,0,0,NA
DE357N2,DE357,50.240733,-125.12055,2016-07-05 08:50:00 PDT,0,8,1,0,0,NA
DE357N1,DE357,50.240733,-125.12055,2016-07-05 08:30:00 PDT,0,1,1,0,0,NA
DE360N1,DE360,50.275178,-125.378066,2016-07-06 06:40:00 PDT,24,200,40,0,0,NA
DE361N2,DE361,50.307066,-125.322977,2016-07-06 10:15:00 PDT,8,100,100,1,0,NA
DE361N1,DE361,50.304502,-125.336639,2016-07-06 09:45:00 PDT,1,40,20,0,0,NA
DE364N1,DE364,50.18049002,-125.330849,2017-05-23 11:12:00 PDT,0,25,15,0,0,0
DE365N1,DE365,50.309067,-125.3257,2017-05-25 08:50:00 PDT,30,2,50,4,0,0
DE366N1,DE366,50.17999062,-125.0189455,2017-05-26 10:47:00 PDT,168,0,0,5,1,0
DE367N1,DE367,50.309278,-125.320699,2017-05-29 11:43:00 PDT,8,1,105,0,1,0
DE368N1,DE368,50.301803,-125.03049,2017-05-31 12:00:00 PDT,0,3,56,4,0,1
DE436N1,DE436,NA,NA,NA,0,NA,NA,NA,NA,NA
DE369N1,DE369,50.305482,-125.024803,2017-06-01 10:10:00 PDT,11,0,100,0,1,0
DE370N1,DE370,50.274875,-125.376937,2017-06-05 11:15:00 PDT,420,20,50,0,3,0
DE371N2,DE371,50.306252,-125.336051,2017-06-07 11:00:00 PDT,105,0,70,0,0,0
DE371N1,DE371,50.307761,-125.325384,2017-06-07 08:00:00 PDT,380,5,160,0,3,0
DE372N2,DE372,50.307811,-125.329505,2017-06-12 12:40:00 PDT,30,0,270,0,0,0
DE372N1,DE372,50.3041,-125.33841,2017-06-12 10:05:00 PDT,85,0,128,0,1,0
DE376N2,DE376,50.274783,-125.377569,2017-06-13 12:25:00 PDT,21,0,384,0,0,0
DE376N1,DE376,50.274596,-125.377527,2017-06-13 09:10:00 PDT,130,0,505,0,3,2
DE454AN5,DE454A,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE454AN4,DE454A,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE454AN3,DE454A,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE454AN2,DE454A,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE454AN1,DE454A,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE454BN8,DE454B,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE454BN7,DE454B,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE454BN6,DE454B,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE377N1,DE377,50.236254,-125.398402,2017-06-19 08:20:00 PDT,40,0,320,0,0,0
DE382N1,DE382,NA,NA,2017-06-19 12:15:00 PDT,NA,NA,NA,NA,NA,NA
DE378N1,DE378,50.304561,-125.337253,2017-06-20 07:20:00 PDT,10,0,240,0,0,0
DE383N1,DE383,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE373N2,DE373,50.297362,-125.339472,2017-06-26 11:52:00 PDT,14,0,120,0,0,0
DE373N1,DE373,50.29725,-125.338485,2017-06-26 09:15:00 PDT,23,3,285,0,2,0
DE384N1,DE384,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE374N1,DE374,50.434701,-125.26607,2017-06-28 07:30:00 PDT,10,0,535,0,1,0
DE457N3,DE457,50.297141,-125.340397,2017-06-29 06:25:00 PDT,2,7,118,0,0,0
DE457N2,DE457,50.297141,-125.340397,2017-06-29 05:30:00 PDT,3,0,200,0,0,0
DE457N1,DE457,50.297141,-125.340397,2017-06-29 04:50:00 PDT,2,10,218,0,1,0
DE458N1,DE458,50.30969,-125.321237,2017-06-29 07:30:00 PDT,35,10,875,0,0,0
DE459N2,DE459,50.30955,-125.306633,2017-06-29 11:40:00 PDT,8,0,149,0,1,0
DE459N1,DE459,50.30955,-125.306633,2017-06-29 10:55:00 PDT,2,2,83,0,0,0
DE460N1,DE460,50.29885,-125.337833,2017-06-29 13:50:00 PDT,10,1,226,0,2,0
DE461N1,DE461,50.306507,-125.330603,2017-06-30 13:30:00 PDT,9,5,480,0,5,0
DE462N2,DE462,50.308201,-125.327355,2017-06-30 17:15:00 PDT,9,0,545,0,0,0
DE462N1,DE462,50.308201,-125.327355,2017-06-30 16:30:00 PDT,6,3,664,0,5,1
DE463N3,DE463,50.299822,-125.3415,2017-06-30 20:52:00 PDT,3,15,842,0,5,0
DE463N2,DE463,50.308112,-125.326899,2017-06-30 20:25:00 PDT,0,0,169,0,5,0
DE463N1,DE463,50.308112,-125.326899,2017-06-30 19:20:00 PDT,1,5,1300,0,5,1
DE464N2,DE464,50.300978,-125.341211,2017-06-30 23:20:00 PDT,0,0,23,0,0,0
DE464N1,DE464,50.300978,-125.341211,2017-06-30 22:25:00 PDT,5,4,170,0,0,0
